Name of movie,Year of relase,Watchtime,Movie Rating,Votes,Director
Whiplash,2014,106,8.5,"790,012",Damien Chazelle
The Intouchables,2011,112,8.5,"818,498","Directors:Olivier Nakache, Éric Toledano"
The Prestige,2006,130,8.5,"1,275,216",Christopher Nolan
The Departed,2006,151,8.5,"1,268,485",Martin Scorsese
The Pianist,2002,150,8.5,"792,133",Roman Polanski
Gladiator,2000,155,8.5,"1,433,333",Ridley Scott
American History X,1998,119,8.5,"1,085,169",Tony Kaye
The Usual Suspects,1995,106,8.5,"1,048,782",Bryan Singer
Léon,1994,110,8.5,"1,109,950",Luc Besson
The Lion King,1994,88,8.5,"1,008,208","Directors:Roger Allers, Rob Minkoff"
Terminator 2: Judgment Day,1991,137,8.5,"1,054,937",James Cameron
Nuovo Cinema Paradiso,1988,155,8.5,"251,126",Giuseppe Tornatore
Hotaru no haka,1988,89,8.5,"261,106",Isao Takahata
Back to the Future,1985,116,8.5,"1,142,127",Robert Zemeckis
Once Upon a Time in the West,1968,165,8.5,"320,006",Sergio Leone
Psycho,1960,109,8.5,"644,878",Alfred Hitchcock
Rear Window,1954,112,8.5,"474,965",Alfred Hitchcock
Casablanca,1942,102,8.5,"553,188",Michael Curtiz
Modern Times,1936,87,8.5,"234,008",Charles Chaplin
City Lights,1931,87,8.5,"179,561",Charles Chaplin
Hamilton,2020,160,8.4,"82,346",Thomas Kail
Capharnaüm,2018,126,8.4,"81,524",Nadine Labaki
Joker,2019,122,8.4,"1,140,433",Todd Phillips
Ratsasan,2018,170,8.4,"37,823",Ram Kumar
Ayla: The Daughter of War,2017,125,8.4,"38,122","Directors:Can Ulkay, Halenur Uzunoglu"
Kimi no na wa.,2016,106,8.4,"240,231",Makoto Shinkai
Dangal,2016,161,8.4,"177,898",Nitesh Tiwari
Spider-Man: Into the Spider-Verse,2018,117,8.4,"468,615","Directors:Bob Persichetti, Peter Ramsey, Rodney Rothman"
Avengers: Endgame,2019,181,8.4,"1,009,668","Directors:Anthony Russo, Joe Russo"
Avengers: Infinity War,2018,149,8.4,"978,404","Directors:Anthony Russo, Joe Russo"
Coco,2017,105,8.4,"460,262","Directors:Lee Unkrich, Adrian Molina"
Django Unchained,2012,165,8.4,"1,468,574",Quentin Tarantino
The Dark Knight Rises,2012,164,8.4,"1,615,621",Christopher Nolan
3 Idiots,2009,170,8.4,"378,083",Rajkumar Hirani
Taare Zameen Par,2007,165,8.4,"185,367","Directors:Aamir Khan, Amole Gupte"
